season	day	capacitance	samples	sleep	start	stop
winter	11	476	6000	60	2.7	2.2
winter	20	476	6000	60	2.7	2.2
winter	3	476	6000	60	2.7	2.2
summer	7	476	6000	60	2.7	2.2
summer	10	476	6000	60	2.7	2.2
summer	2	476	6000	60	2.7	2.2
