season	day	capacitance	sampleNum	sampleSize	sleep	start	stop
summer	7	476	20	20	5	3.0	2.2
summer	7	476	20	20	5	3.0	2.0
summer	7	476	20	20	5	3.0	1.8
summer	7	476	20	20	5	2.7	2.2
summer	7	476	20	20	5	2.7	2.0
summer	7	476	20	20	5	2.7	1.8
summer	7	476	20	20	5	2.3	2.2
summer	7	476	20	20	5	2.3	2.0
summer	7	476	20	20	5	2.3	1.8
summer	7	476	20	20	10	3.0	2.2
summer	7	476	20	20	10	3.0	2.0
summer	7	476	20	20	10	3.0	1.8
summer	7	476	20	20	10	2.7	2.2
summer	7	476	20	20	10	2.7	2.0
summer	7	476	20	20	10	2.7	1.8
summer	7	476	20	20	10	2.3	2.2
summer	7	476	20	20	10	2.3	2.0
summer	7	476	20	20	10	2.3	1.8
summer	7	476	20	30	5	3.0	2.2
summer	7	476	20	30	5	3.0	2.0
summer	7	476	20	30	5	3.0	1.8
summer	7	476	20	30	5	2.7	2.2
summer	7	476	20	30	5	2.7	2.0
summer	7	476	20	30	5	2.7	1.8
summer	7	476	20	30	5	2.3	2.2
summer	7	476	20	30	5	2.3	2.0
summer	7	476	20	30	5	2.3	1.8
summer	7	476	20	30	10	3.0	2.2
summer	7	476	20	30	10	3.0	2.0
summer	7	476	20	30	10	3.0	1.8
summer	7	476	20	30	10	2.7	2.2
summer	7	476	20	30	10	2.7	2.0
summer	7	476	20	30	10	2.7	1.8
summer	7	476	20	30	10	2.3	2.2
summer	7	476	20	30	10	2.3	2.0
summer	7	476	20	30	10	2.3	1.8
summer	7	476	30	20	5	3.0	2.2
summer	7	476	30	20	5	3.0	2.0
summer	7	476	30	20	5	3.0	1.8
summer	7	476	30	20	5	2.7	2.2
summer	7	476	30	20	5	2.7	2.0
summer	7	476	30	20	5	2.7	1.8
summer	7	476	30	20	5	2.3	2.2
summer	7	476	30	20	5	2.3	2.0
summer	7	476	30	20	5	2.3	1.8
summer	7	476	30	20	10	3.0	2.2
summer	7	476	30	20	10	3.0	2.0
summer	7	476	30	20	10	3.0	1.8
summer	7	476	30	20	10	2.7	2.2
summer	7	476	30	20	10	2.7	2.0
summer	7	476	30	20	10	2.7	1.8
summer	7	476	30	20	10	2.3	2.2
summer	7	476	30	20	10	2.3	2.0
summer	7	476	30	20	10	2.3	1.8
summer	7	476	30	30	5	3.0	2.2
summer	7	476	30	30	5	3.0	2.0
summer	7	476	30	30	5	3.0	1.8
summer	7	476	30	30	5	2.7	2.2
summer	7	476	30	30	5	2.7	2.0
summer	7	476	30	30	5	2.7	1.8
summer	7	476	30	30	5	2.3	2.2
summer	7	476	30	30	5	2.3	2.0
summer	7	476	30	30	5	2.3	1.8
summer	7	476	30	30	10	3.0	2.2
summer	7	476	30	30	10	3.0	2.0
summer	7	476	30	30	10	3.0	1.8
summer	7	476	30	30	10	2.7	2.2
summer	7	476	30	30	10	2.7	2.0
summer	7	476	30	30	10	2.7	1.8
summer	7	476	30	30	10	2.3	2.2
summer	7	476	30	30	10	2.3	2.0
summer	7	476	30	30	10	2.3	1.8
summer	7	352	20	20	5	3.0	2.2
summer	7	352	20	20	5	3.0	2.0
summer	7	352	20	20	5	3.0	1.8
summer	7	352	20	20	5	2.7	2.2
summer	7	352	20	20	5	2.7	2.0
summer	7	352	20	20	5	2.7	1.8
summer	7	352	20	20	5	2.3	2.2
summer	7	352	20	20	5	2.3	2.0
summer	7	352	20	20	5	2.3	1.8
summer	7	352	20	20	10	3.0	2.2
summer	7	352	20	20	10	3.0	2.0
summer	7	352	20	20	10	3.0	1.8
summer	7	352	20	20	10	2.7	2.2
summer	7	352	20	20	10	2.7	2.0
summer	7	352	20	20	10	2.7	1.8
summer	7	352	20	20	10	2.3	2.2
summer	7	352	20	20	10	2.3	2.0
summer	7	352	20	20	10	2.3	1.8
summer	7	352	20	30	5	3.0	2.2
summer	7	352	20	30	5	3.0	2.0
summer	7	352	20	30	5	3.0	1.8
summer	7	352	20	30	5	2.7	2.2
summer	7	352	20	30	5	2.7	2.0
summer	7	352	20	30	5	2.7	1.8
summer	7	352	20	30	5	2.3	2.2
summer	7	352	20	30	5	2.3	2.0
summer	7	352	20	30	5	2.3	1.8
summer	7	352	20	30	10	3.0	2.2
summer	7	352	20	30	10	3.0	2.0
summer	7	352	20	30	10	3.0	1.8
summer	7	352	20	30	10	2.7	2.2
summer	7	352	20	30	10	2.7	2.0
summer	7	352	20	30	10	2.7	1.8
summer	7	352	20	30	10	2.3	2.2
summer	7	352	20	30	10	2.3	2.0
summer	7	352	20	30	10	2.3	1.8
summer	7	352	30	20	5	3.0	2.2
summer	7	352	30	20	5	3.0	2.0
summer	7	352	30	20	5	3.0	1.8
summer	7	352	30	20	5	2.7	2.2
summer	7	352	30	20	5	2.7	2.0
summer	7	352	30	20	5	2.7	1.8
summer	7	352	30	20	5	2.3	2.2
summer	7	352	30	20	5	2.3	2.0
summer	7	352	30	20	5	2.3	1.8
summer	7	352	30	20	10	3.0	2.2
summer	7	352	30	20	10	3.0	2.0
summer	7	352	30	20	10	3.0	1.8
summer	7	352	30	20	10	2.7	2.2
