Timestamp	Checkpoint count	Recover count	Sampling count	Communication count	Connection Errors
2024-06-09T13:03:10	10	1	10	1	0
2024-06-09T13:04:02	21	1	20	2	0
2024-06-09T13:04:54	32	1	30	3	0
2024-06-09T13:05:46	43	1	40	4	0
2024-06-09T13:06:38	54	1	50	5	0
2024-06-09T13:07:30	65	1	60	6	0
2024-06-09T13:08:22	76	1	70	7	0
2024-06-09T13:09:14	87	1	80	8	0
2024-06-09T13:10:06	98	1	90	9	0
2024-06-09T13:10:58	109	1	100	10	0
2024-06-09T13:11:50	120	1	110	11	0
2024-06-09T13:12:42	131	1	120	12	0
2024-06-09T13:13:34	142	1	130	13	0
2024-06-09T13:14:26	153	1	140	14	0
2024-06-09T13:15:18	164	1	150	15	0
2024-06-09T13:16:10	175	1	160	16	0
2024-06-09T13:17:02	186	1	170	17	0
2024-06-09T13:17:54	197	1	180	18	0
2024-06-09T13:18:46	208	1	190	19	0
2024-06-09T13:19:38	219	1	200	20	0
2024-06-09T13:20:31	230	1	210	21	0
2024-06-09T13:21:23	241	1	220	22	0
2024-06-09T13:22:15	252	1	230	23	0
2024-06-09T13:23:06	263	1	240	24	0
2024-06-09T13:23:58	274	1	250	25	0
2024-06-09T13:24:50	285	1	260	26	0
2024-06-09T13:25:42	296	1	270	27	0
2024-06-09T13:26:34	307	1	280	28	0
2024-06-09T13:27:26	318	1	290	29	0
2024-06-09T13:28:18	329	1	300	30	0
2024-06-09T13:29:10	340	1	310	31	0
2024-06-09T13:30:02	351	1	320	32	0
2024-06-09T13:30:54	362	1	330	33	0
2024-06-09T13:31:46	373	1	340	34	0
2024-06-09T13:32:38	384	1	350	35	0
2024-06-09T13:33:30	395	1	360	36	0
2024-06-09T13:34:22	406	1	370	37	0
2024-06-09T13:35:14	417	1	380	38	0
2024-06-09T13:36:06	428	1	390	39	0
2024-06-09T13:36:58	439	1	400	40	0
2024-06-09T13:37:50	450	1	410	41	0
2024-06-09T13:38:42	461	1	420	42	0
2024-06-09T13:39:34	472	1	430	43	0
2024-06-09T13:40:26	483	1	440	44	0
2024-06-09T13:41:18	494	1	450	45	0
2024-06-09T13:42:10	505	1	460	46	0
2024-06-09T13:43:02	516	1	470	47	0
2024-06-09T14:30:54	516	2	470	47	0
2024-06-09T14:31:46	527	2	480	48	0
2024-06-09T14:32:38	538	2	490	49	0
2024-06-09T14:33:30	549	2	500	50	0
2024-06-09T14:34:22	560	2	510	51	0
2024-06-09T14:35:14	571	2	520	52	0
2024-06-09T14:36:06	582	2	530	53	0
2024-06-09T14:36:58	593	2	540	54	0
2024-06-09T14:37:50	604	2	550	55	0
2024-06-09T14:38:42	615	2	560	56	0
2024-06-09T14:39:34	626	2	570	57	0
2024-06-09T14:40:26	637	2	580	58	0
2024-06-09T14:41:18	648	2	590	59	0
2024-06-09T14:42:10	659	2	600	60	0
2024-06-09T14:43:02	670	2	610	61	0
2024-06-09T14:43:54	681	2	620	62	0
2024-06-09T14:44:46	692	2	630	63	0
2024-06-09T14:45:38	703	2	640	64	0
2024-06-09T14:46:30	714	2	650	65	0
2024-06-09T14:47:22	725	2	660	66	0
2024-06-09T14:48:14	736	2	670	67	0
2024-06-09T14:49:06	747	2	680	68	0
2024-06-09T14:49:58	758	2	690	69	0
2024-06-09T14:50:50	769	2	700	70	0
