Timestamp	Checkpoint count	Recover count	Sampling count	Communication count	Connection Errors
2024-06-07T23:41:15	2	2	10	1	0
2024-06-07T23:42:06	2	2	20	2	0
2024-06-07T23:42:57	2	2	30	3	0
2024-06-07T23:43:49	2	2	40	4	0
2024-06-07T23:44:40	2	2	50	5	0
2024-06-07T23:45:31	2	2	60	6	0
2024-06-07T23:46:22	2	2	70	7	0
2024-06-07T23:47:14	2	2	80	8	0
2024-06-07T23:48:05	2	2	90	9	0
2024-06-07T23:48:56	2	2	100	10	0
2024-06-07T23:49:48	2	2	110	11	0
2024-06-07T23:50:39	2	2	120	12	0
2024-06-07T23:51:31	2	2	130	13	0
2024-06-07T23:52:22	2	2	140	14	0
2024-06-07T23:53:13	2	2	150	15	0
2024-06-07T23:54:04	2	2	160	16	0
2024-06-07T23:54:56	2	2	170	17	0
2024-06-07T23:55:47	2	2	180	18	0
2024-06-07T23:56:39	2	2	190	19	0
2024-06-07T23:57:30	2	2	200	20	0
2024-06-07T23:58:21	2	2	210	21	0
2024-06-07T23:59:12	2	2	220	22	0
2024-06-08T00:00:04	2	2	230	23	0
2024-06-08T00:00:55	2	2	240	24	0
2024-06-08T00:01:46	2	2	250	25	0
2024-06-08T00:02:38	2	2	260	26	0
2024-06-08T00:03:29	2	2	270	27	0
2024-06-08T00:04:20	2	2	280	28	0
2024-06-08T00:05:11	2	2	290	29	0
2024-06-08T00:06:04	2	2	300	30	0
2024-06-08T00:06:55	2	2	310	31	0
2024-06-08T00:07:46	2	2	320	32	0
2024-06-08T00:08:37	2	2	330	33	0
2024-06-08T00:09:29	2	2	340	34	0
2024-06-08T00:10:20	2	2	350	35	0
2024-06-08T00:11:11	2	2	360	36	0
2024-06-08T00:12:03	2	2	370	37	0
2024-06-08T00:12:54	2	2	380	38	0
2024-06-08T00:13:45	2	2	390	39	0
2024-06-08T00:14:36	2	2	400	40	0
2024-06-08T00:15:28	15	2	410	41	0
2024-06-08T00:16:20	26	2	420	42	0
2024-06-08T00:17:12	37	2	430	43	0
2024-06-08T00:59:17	37	3	440	44	0
2024-06-08T01:00:08	37	3	450	45	0
2024-06-08T01:00:59	37	3	460	46	0
2024-06-08T01:01:50	37	3	470	47	0
2024-06-08T01:02:42	37	3	480	48	0
2024-06-08T01:03:33	37	3	490	49	0
2024-06-08T01:04:24	37	3	500	50	0
2024-06-08T01:05:16	37	3	510	51	0
2024-06-08T01:06:07	37	3	520	52	0
2024-06-08T01:06:58	37	3	530	53	0
2024-06-08T01:07:50	37	3	540	54	0
2024-06-08T01:08:41	37	3	550	55	0
2024-06-08T01:09:32	37	3	560	56	0
2024-06-08T01:10:24	37	3	570	57	0
2024-06-08T01:11:15	37	3	580	58	0
2024-06-08T01:12:06	37	3	590	59	0
2024-06-08T01:12:58	37	3	600	60	0
2024-06-08T01:13:49	37	3	610	61	0
2024-06-08T01:14:40	37	3	620	62	0
2024-06-08T01:15:32	37	3	630	63	0
2024-06-08T01:16:23	37	3	640	64	0
2024-06-08T01:17:14	37	3	650	65	0
2024-06-08T01:18:07	37	3	660	66	0
2024-06-08T01:18:58	37	3	670	67	0
2024-06-08T01:19:49	37	3	680	68	0
2024-06-08T01:20:40	37	3	690	69	0
2024-06-08T01:21:32	37	3	700	70	0
2024-06-08T01:22:23	37	3	710	71	0
2024-06-08T01:23:14	37	3	720	72	0
2024-06-08T01:24:06	37	3	730	73	0
2024-06-08T01:24:57	37	3	740	74	0
2024-06-08T01:25:48	37	3	750	75	0
2024-06-08T01:26:39	37	3	760	76	0
2024-06-08T01:27:31	37	3	770	77	0
2024-06-08T01:28:22	37	3	780	78	0
2024-06-08T01:29:13	37	3	790	79	0
2024-06-08T01:30:04	37	3	800	80	0
2024-06-08T01:30:56	37	3	810	81	0
2024-06-08T01:31:47	37	3	820	82	0
2024-06-08T01:33:30	37	3	840	84	0
2024-06-08T01:34:21	37	3	850	85	0
2024-06-08T01:35:12	37	3	860	86	0
2024-06-08T01:36:03	37	3	870	87	0
2024-06-08T01:36:55	37	3	880	88	0
2024-06-08T01:37:46	37	3	890	89	0
2024-06-08T01:38:37	37	3	900	90	0
2024-06-08T01:39:28	37	3	910	91	0
2024-06-08T01:40:20	37	3	920	92	0
2024-06-08T01:41:11	37	3	930	93	0
2024-06-08T01:42:02	37	3	940	94	0
2024-06-08T01:42:53	37	3	950	95	0
2024-06-08T01:43:45	37	3	960	96	0
2024-06-08T01:44:36	37	3	970	97	0
2024-06-08T01:45:27	37	3	980	98	0
2024-06-08T01:46:18	37	3	990	99	0
2024-06-08T01:47:10	37	3	1000	100	0
2024-06-08T01:48:01	37	3	1010	101	0
2024-06-08T01:48:53	37	3	1020	102	0
2024-06-08T01:49:44	37	3	1030	103	0
2024-06-08T01:50:35	37	3	1040	104	0
2024-06-08T01:51:26	37	3	1050	105	0
2024-06-08T01:52:18	37	3	1060	106	0
2024-06-08T01:53:09	37	3	1070	107	0
2024-06-08T01:54:00	37	3	1080	108	0
2024-06-08T01:54:51	37	3	1090	109	0
2024-06-08T01:55:43	37	3	1100	110	0
2024-06-08T01:56:34	37	3	1110	111	0
2024-06-08T01:57:25	37	3	1120	112	0
2024-06-08T01:58:16	37	3	1130	113	0
2024-06-08T01:59:08	37	3	1140	114	0
2024-06-08T01:59:59	37	3	1150	115	0
2024-06-08T02:00:50	37	3	1160	116	0
2024-06-08T02:01:42	37	3	1170	117	0
2024-06-08T02:02:33	37	3	1180	118	0
2024-06-08T02:03:24	37	3	1190	119	0
2024-06-08T02:04:16	37	3	1200	120	0
2024-06-08T02:05:07	37	3	1210	121	0
2024-06-08T02:05:58	37	3	1220	122	0
2024-06-08T02:06:50	37	3	1230	123	0
2024-06-08T02:07:41	37	3	1240	124	0
2024-06-08T02:08:32	37	3	1250	125	0
2024-06-08T02:09:23	37	3	1260	126	0
2024-06-08T02:10:15	37	3	1270	127	0
2024-06-08T02:11:06	37	3	1280	128	0
2024-06-08T02:11:58	37	3	1290	129	0
2024-06-08T02:12:49	37	3	1300	130	0
2024-06-08T02:13:41	37	3	1310	131	0
2024-06-08T02:14:32	37	3	1320	132	0
2024-06-08T02:15:23	37	3	1330	133	0
2024-06-08T02:16:15	37	3	1340	134	0
2024-06-08T02:17:06	37	3	1350	135	0
2024-06-08T02:17:57	37	3	1360	136	0
2024-06-08T02:18:49	37	3	1370	137	0
2024-06-08T02:19:40	37	3	1380	138	0
2024-06-08T02:20:31	37	3	1390	139	0
2024-06-08T02:21:23	37	3	1400	140	0
2024-06-08T02:22:14	37	3	1410	141	0
2024-06-08T02:23:05	37	3	1420	142	0
2024-06-08T02:23:57	37	3	1430	143	0
2024-06-08T02:24:48	37	3	1440	144	0
2024-06-08T02:25:39	37	3	1450	145	0
2024-06-08T02:26:31	37	3	1460	146	0
2024-06-08T02:27:22	37	3	1470	147	0
2024-06-08T02:28:13	37	3	1480	148	0
2024-06-08T02:29:04	37	3	1490	149	0
2024-06-08T02:29:56	37	3	1500	150	0
2024-06-08T02:30:47	37	3	1510	151	0
2024-06-08T02:31:38	37	3	1520	152	0
2024-06-08T02:32:29	37	3	1530	153	0
2024-06-08T02:33:21	37	3	1540	154	0
2024-06-08T02:34:12	37	3	1550	155	0
2024-06-08T02:35:03	37	3	1560	156	0
2024-06-08T02:35:55	37	3	1570	157	0
2024-06-08T02:36:46	37	3	1580	158	0
2024-06-08T02:37:37	37	3	1590	159	0
2024-06-08T02:38:29	37	3	1600	160	0
2024-06-08T02:39:20	37	3	1610	161	0
2024-06-08T02:40:11	37	3	1620	162	0
2024-06-08T02:41:02	37	3	1630	163	0
2024-06-08T02:41:54	37	3	1640	164	0
2024-06-08T02:42:45	37	3	1650	165	0
2024-06-08T02:43:36	37	3	1660	166	0
2024-06-08T02:44:28	37	3	1670	167	0
2024-06-08T02:45:19	37	3	1680	168	0
2024-06-08T02:46:10	37	3	1690	169	0
2024-06-08T02:47:02	37	3	1700	170	0
2024-06-08T02:47:53	37	3	1710	171	0
2024-06-08T02:48:44	37	3	1720	172	0
2024-06-08T02:49:36	37	3	1730	173	0
2024-06-08T02:50:27	37	3	1740	174	0
2024-06-08T02:51:18	37	3	1750	175	0
2024-06-08T02:52:09	37	3	1760	176	0
2024-06-08T02:53:01	37	3	1770	177	0
